term,phrase,tag1,tag2,tag3,tag4,tag5,tag6,meaninglanguage1,meaning1,meaninglanguage2,meaning2
냄새를,개구리들은 미묘한 냄새를 풍겨.,,,,,,,en,Odor,,
세,이 엉덩이나무 세 번째 지나가는데?,,,,,,,en,"n.  three,",,
꾸준히,불 붙을 때까지 꾸준히 해볼까?,,,,,,,en,"constantly, steadily, persistently",,
땅에다,어차피 땅에다 버리려고 했어.,,,,,,,en,In the ground,,
버리려고,어차피 땅에다 버리려고 했어.,,,,,,,en,Trying to throw,,
확인해보자,…길로 돌아가야겠어. 처음부터 다시 확인해보자.,,,,,,,en,Let's check,,
잃게,막대사탕도 없이 이렇게 길을 잃게 하려고?,,,,,,,en,잃다   (물건·집·자리 등을) lose (빼앗기다) be deprived of,,
번개까지,게다가 나 번개까지 맞았어.,,,,,,,en,To lightning,,
지나가는데,이 엉덩이나무 세 번째 지나가는데?,,,,,,,en,Passing,,
보니,여기서 보니 경치 좋은데?,,,,,,,en,보니 = 보다(to see) + 니(because),,
피우고,여기서 불 피우고 피 그칠 때까지 기다리자.,동사,피우다,동사,피우다,,,en,to smoke,,
시대를,말하자면 새로 산 시대를 열대 나는 그런 냄새…,,,,,,,en,[時代] (1) an age; a period; an era; a time; an epoch (2) the times,,
한참,사탕은 한참 전에 떨어졌어.,,,,,,,en,for a while,,
따라,막대사탕을 따라 돌아가야겠다. 사탕 어딨어?,동사,따다,동사,따다,,,en,"according to, in agreement with",,
열대,말하자면 새로 산 시대를 열대 나는 그런 냄새 같은…,,,,,,,en,"the tropics, tropical regions",,
방법,막대기로 불 피우는 방법 생각나?,,,,,,,en,"way, method, system",,
기다리자,…피우고 피 그칠 때까지 기다리자.,동사,기다리다,동사,기다리다,,,en,Now wait,,
막대기로,막대기로 불 피우는 방법 생각나?,,,,,,,en,With a stick,,
길로,왔던 길로 돌아가야겠어. 처음부터 다시 확인해보자.,,,,,,,en,"street, road, path, way + 로",,
그칠,여기서 불 피우고 피 그칠 때까지 기다리자.,동사,그치다,동사,그치다,,,en,"stop, cease",,
핥기만,"이빨로 물지는 않고, 이렇게 핥기만 해!",,,,,,,en,lick only,,
하지도 마,그런 소리 하지도 마.,,,,,,,en,Don't do it,,
새로,말하자면 새로 산 시대를 열대 나는…,,,,,,,en,"adv.  newly,",,
방법을,맘의 방법을 알아냈어!,,,,,,,en,way; means; (method or way of doing something),,
맘의,맘의 방법을 알아냈어!,,,,,,,en,"heart, mind, feelings 의",,
잡아먹히겠다,…감수했네. 잡혔다간 뼈도 무치리고 잡아먹히겠다.,,,,,,,en,I'll eaten,,
살살,날 살살 먹고 있어!,,,,,,,en,gently; softly; slowly,,
뼈도,심령 감수했네. 잡혔다간 뼈도 무치리고 잡아먹히겠다.,,,,,,,en,bones,,
말하자면,말하자면 새로 산 시대를 열대…,,,,,,,en,"as it were, so to speak, like",,
하지도,그런 소리 하지도 마.,,,,,,,en,can't even do,,
무치리고,심령 감수했네. 잡혔다간 뼈도 무치리고 잡아먹히겠다.,,,,,,,en,Muchirigo,,
숨자,"제이크, 이 동굴에 숨자!",동사,숨다,동사,숨다,,,en,Breath,,
타서,녀석이 헷갈려 하는 틈을 타서 해치우는 거야.,,,,,,,en,타다 ride; get on; burn; blaze,,
저리,저리 좀 가라고!,,,,,,,en,there,,
해치우자,모르지. 방심하고 있을 때 해치우자.,,,,,,,en,Let's do it,,
저것,저것 좀 봐!,,,,,,,en,That,,
불 피우고,여기서 불 피우고 피 그칠 때까지 기다리자.,,,,,,,en,Make a fire,,
붙였네,빈! 그새 불을 붙였네? 잘했어!,,,,,,,en,I got it.,,
막대기에,왜 아무리 해도 막대기에 불이 안 붙냐고!,,,,,,,en,On a stick,,
정신,"제이크, 정신 차려! 어서!",,,,,,,en,[精神] mind; spirit; soul; will; intention; mentality;,,
나뭇가지로,나뭇가지로 빈과 제이크를 만들어서,,,,,,,en,With branches,,
잡혔다간,심령 감수했네. 잡혔다간 뼈도 무치리고 잡아먹히겠다.,,,,,,,en,Caught,,
빈과,나뭇가지로 빈과 제이크를 만들어서,,,,,,,en,Bin and,,
붙어라,"붙어라, 제발! 어서!",동사,붙다,동사,붙다,,,en,Stick,,
불,밤에 바람이 불 때 자전거를 타면 기분이…,동사,불다,동사,불다,,,en,blow,,
해볼까,불 붙을 때까지 꾸준히 해볼까?,,,,,,,en,shall I try?,,
머리,"아우, 머리 아파.",,,,,,,en,head; hair,,
생각나,막대기로 불 피우는 방법 생각나?,동사,생각나다,동사,생각나다,,,en,remember • think,,
물론이지,물론이지. 쉽잖아.,,,,,,,en,"absolutely, of course",,
같지가,불이 붙을 것 같지가 않은데?,,,,,,,en,"identical , same",,
해치우는,…헷갈려 하는 틈을 타서 해치우는 거야.,,,,,,,en,Hatching,,
얘가,으아아악! 얘가 날 먹고 있어!,,,,,,,en,He/she is,,
몸,"제이크, 몸 좀 부려봐!",,,,,,,en,body,,
진심으로,"고마워, 친구. 진심으로 고맙게 생각해.",,,,,,,en,"truly, sincerely (from the bottom of my heart)",,
떼일던데,"우릴 산채로 잡아먹으려고 혈안이 떼일던데,",,,,,,,en,They're swarming.,,
불을,빈! 그새 불을 붙였네? 잘했어!,,,,,,,en,"light, fire",,
그새,빈! 그새 불을 붙였네? 잘했어!,,,,,,,en,"meanwhile, in the meantime",,
방심하고,모르지. 방심하고 있을 때 해치우자.,,,,,,,en,Be vigilant,,
고맙게 생각해,"고마워, 친구. 진심으로 고맙게 생각해.",,,,,,,en,Appreciate,,
부려봐,"제이크, 몸 좀 부려봐!",,,,,,,en,Pamper,,
물지는,"이빨로 물지는 않고, 이렇게 핥기만 해!",,,,,,,en,Bite,,
심령,심령 감수했네. 잡혔다간 뼈도 무치리고…,,,,,,,en,psychic,,
저게,"제이크, 저게 봐!",,,,,,,en,That,,
차려,"제이크, 정신 차려! 어서!",동사,차리다,동사,차리다,,,en,차리다 - Prepare,,
덕분에,"오, 저주가 풀렸어. 덕분에 다시 근사해졌군.",,,,,,,en,"indebted, thanks to you",,
이빨로,"이빨로 물지는 않고, 이렇게 핥기만…",,,,,,,en,tooth; teeth,,
감수했네,심령 감수했네. 잡혔다간 뼈도 무치리고 잡아먹히겠다.,,,,,,,en,"감수하다
(참다) bear, endure, put up with; (받아들이다) submit to",,
동굴에,"제이크, 이 동굴에 숨자!",,,,,,,en,In a cave,,
풀렸어,"오, 저주가 풀렸어. 덕분에 다시 근사해졌군.",동사,풀리다,동사,풀리다,,,en,It's gone.,,
이걸,이걸 보니 좋은 생각이 났어.,,,,,,,en,"refer to , this",,
우릴,"우릴 산채로 잡아먹으려고 혈안이 떼일던데,",,,,,,,en,Us,,
알아냈어,맘의 방법을 알아냈어!,,,,,,,en,"알아내다
find, discover, detect, identify, figure out, locate",,
이리,거대한 개구리를 이리 유인한 다음에,,,,,,,en,in this way; like this; so,,
틈을,녀석이 헷갈려 하는 틈을 타서 해치우는 거야.,,,,,,,en,"spare time, gap, opportunity",,
녀석이,녀석이 헷갈려 하는 틈을 타서…,,,,,,,en,"guy, fellow",,
유인한,거대한 개구리를 이리 유인한 다음에,,,,,,,en,Manned,,
헷갈려,녀석이 헷갈려 하는 틈을 타서 해치우는…,,,,,,,en,confusing,,
팔지,한국의 카페들은 커피만 팔지 않아요.,,,,,,,en,Sell,,
공학을,라는 생각으로 컴퓨터 공학을 수준급하게 되었다가 개발자가 되었죠.,,,,,,,en,Engineering,,
오빠이기에,그러나 나의 오빠이기에 그의 일들을 알고 싶은…,,,,,,,en,Because my brother,,
소유에요,사실 이 아파트는 그녀의 소유에요.,,,,,,,en,"possession, property",,
생긴,당신의 오빠가 여자친구가 생긴 것이 왜 당신의 일이지요?,,,,,,,en,happened,,
답답했어요,프랑스 사람하고 대화를 못하니까 답답했어요.,,,,,,,en,Frustrated,,
여름휴가,여름휴가 때 해외여행을 한 것이…,,,,,,,en,Summer Vacation,,
빵집이,하지만 프랑스는 빵집이 아침 일찍 열어요.,,,,,,,en,Bakery,,
빵이,그리고 프랑스 빵이 정말 정말 맛있었어요.,,,,,,,en,Bread,,
우버를,하지만 프랑스에는 택시보다 우버를 더 많이 타요.,,,,,,,en,Uber,,
달랐어요,프랑스는 한국하고 정말 달랐어요.,,,,,,,en,Was different.,,
열셋,한국에서 프랑스까지 열셋 시간이 걸렸어요.,,,,,,,en,Thirteen,,
밤이,정말 춥고 밤이 길어서 여행할 때 힘들었어요.,,,,,,,en,Night,,
밖이,저녁 6 시 였지만 밖이 밝았어요.,,,,,,,en,Outside,,
편의점이,또한 한국은 편의점이 많아요.,,,,,,,en,convenience store,,
더울,왜냐하면 정말 습해서 밤에도 더울 때가 많아요.,,,,,,,en,Hot,,
벨기에,"…다음에는 영국, 스페인, 이탈리아, 벨기에 등 많은 나라를 여행하고…",,,,,,,en,Belgium,,
가게들이,프랑스는 가게들이 저녁에 닫아요.,,,,,,,en,Shops,,
정도면,…프랑스는 저녁 8 시 정도면 시원해요.,,,,,,,en,about / rougly,,
멀어서,사람이 너무 많고 멀어서 잘 안 갔어요.,,,,,,,en,Far away.,,
부를,핸드폰으로 택시를 부를 수 있어요.,동사,부르다,동사,부르다,,,en,"to call, say, sing",,
여행이,이번 프랑스 여행이 정말 좋았어요.,,,,,,,en,Noun Travel + 이 subject marker,,
바닷가,바닷가 근처에 바람이 불어서 시원했어요.,,,,,,,en,"beach, coast, the seaside, the seashore",,
불어서,바닷가 근처에 바람이 불어서 시원했어요.,,,,,,,en,Blow + so,,
썼지만,저도 프랑스에서 마스크를 안 썼지만,,,,,,,en,"wrote, used but...",,
살,…보통 저녁 늦게 물건을 살 수 없었어요.,동사,사다,살다,사다,살다,동사,en,years old,,
습하고,한국의 날씨가 너무 습하고 안 좋았어요.,,,,,,,en,Humid,,
야채가,한국은 보통 과일하고 야채가 비싸요.,,,,,,,en,Vegetables,,
살 수 없었어요,…보통 저녁 늦게 물건을 살 수 없었어요.,,,,,,,en,couldn't buy,,
근처에,바닷가 근처에 바람이 불어서 시원했어요.,,,,,,,en,"neighborhood, nearby area",,
이번,"수다 타임 이번 에피소드에서는요,",,,,,,,en,이번 this time; recently; lately; present; new; now; next time; shortly;,,
카디건을,그래서 저는 프랑스에서 저녁에 카디건을 입었어요.,,,,,,,en,Cardigan,,
발,정말 피곤하고 다리 하고 발 이 아팠어요.,,,,,,,en,foot,,
또한,또한 한국은 편의점이 많아요.,,,,,,,en,(1) again; once more; another time; for the second time; repeatedly; in succession (2) and; moreover; besides; further(more); what is more (3) on the other hand; in turn; while,,
프랑스까지,한국에서 프랑스까지 열셋 시간이 걸렸어요.,,,,,,,en,To France,,
타려면,그래서 버스를 타려면 보통 15 분에서 20…,,,,,,,en,"to ride , if ride , when ride",,
손을,…많은 곳에서는 마스크를 쓰고 손을 씻었어요.,,,,,,,en,hand,,
습해서,왜냐하면 정말 습해서 밤에도 더울 때가 많아요.,,,,,,,en,"濕해서  since it's damp, moist, humid, soggy",,
아닐지도,…그녀는 단지 룸메이트이지 여자친구는 아닐지도 몰라요.,,,,,,,en,Perhaps,,
쓰지,프랑스에서는 마스크를 쓰지 않았어요.,,,,,,,en,"write , use , wear",,
씻었어요,…곳에서는 마스크를 쓰고 손을 씻었어요.,동사,씻다,동사,씻다,,,en,"cleaned, washed",,
공항,"기차, 공항, 비행기 처럼 사람이 많은…",,,,,,,en,airport,,
나라를,"…이탈리아, 벨기에 등 많은 나라를 여행하고 싶어요.",,,,,,,en,Country,,
흔한,…같이 사는 것만은 아주 흔한 일이지요.,,,,,,,en,v. to be common,,
놀랍군요,놀랍군요!,,,,,,,en,"surprising, astonishing",,
주스나,가끔 과일 주스나 스무디를 마시는데,,,,,,,en,Juice,,
책,재미있어서 책 한 권을 다 읽을…,,,,,,,en,冊] a book,,
기타를,…저는 학생 때 취미로 기타를 배웠는데 일을 시작한 후로,,,,,,,en,guitar(s),,
이사온,"네, 그녀가 이사온 때가 기억나네요.",,,,,,,en,moved,,
할 때나,일을 할 때나 공부를 할 때도 카페에…,,,,,,,en,when doing XYZ or,,
수다를,자주 친구랑 카페에서 만나서 수다를 떨어요.,,,,,,,en,"prattle, chatter",,
동네에서,…밤에 혼자 노래를 들으면서 동네에서 한 시간 정도 산책을…,,,,,,,en,"village, town, neighborhood",,
떨어요,…친구랑 카페에서 만나서 수다를 떨어요.,동사,떨다,동사,떨다,,,en,"1. (신체를) shake 2. (추워서) tremble, shudder, shiver, quiver, shake 3. (무섭거나 화가 나서) shake, tremble, quiver, shiver, shudder, quake",,
다양하고,카페에는 다양하고 맛있는 디저트도 정말 많아요.,,,,,,,en,"various, varied, diverse, different",,
후에도,그리고 밥을 먹은 후에도 친구하고 카페에 가요.,,,,,,,en,Even after,,
디저트나,요즘은 디저트나 과자를 잘 안 먹으려고…,,,,,,,en,Dessert +나 (or),,
때나,일을 할 때나 공부를 할 때도 카페에…,,,,,,,en,When,,
지루하면,일이 지루하면 친구하고 이야기를 할 수…,,,,,,,en,Be bored,,
건강에,…음식을 너무 자주 먹으면 건강에 안 좋아서,,,,,,,en,For your health.,,
건강한,지금은 더 건강한 음식을 먹으려고 해요.,,,,,,,en,Healthy,,
동네에는,제 동네에는 디저트 맛집이 정말 많아요.,,,,,,,en,in the neighbourhood,,
라면,예전에는 매운 라면 먹는 것을 좋아했지만 지금은…,,,,,,,en,Ramen,,
과자를,요즘은 디저트나 과자를 잘 안 먹으려고 해요.,,,,,,,en,a cake; sweets; candy; cookie 를,,
권을,재미있어서 책 한 권을 다 읽을 수 있어요.,,,,,,,en,voulume (of works/books),,
재료를,요즘은 재료를 사서 집에서 요리하고 있어요.,,,,,,,en,"ingredients, materials",,
문화를,다른 나라의 문화를 배울 수 있는 게…,,,,,,,en,Culture,,
집중해서,…가서 일을 하면 더 집중해서 할 수 있어요.,,,,,,,en,By focusing,,
아낄,집에서 요리를 하면 돈을 아낄 수 있고 건강하게 먹을…,동사,아끼다,동사,아끼다,,,en,"conserve, save",,
달라서,친구들과 쉬는 날이 달라서 많이 못 만나지만,,,,,,,en,"because different , distinct",,
나라의,다른 나라의 문화를 배울 수 있는…,,,,,,,en,Of the country,,
포장하거나,예전에는 식당에서 음식을 포장하거나 배달시켜서 먹었는데,,,,,,,en,take away or,,
익숙해졌어요,매운 음식을 계속 먹으니까 익숙해졌어요.,,,,,,,en,"I'm used to it , accustomed",,
한국과,일본은 한국과 가까워서 꼭 일본 여행을…,,,,,,,en,South Korea and,,
시작한,…취미로 기타를 배웠는데 일을 시작한 후로,,,,,,,en,"시작하다 (始作) start, begin",,
먹으려고,지금은 더 건강한 음식을 먹으려고 해요.,,,,,,,en,going to eat ( intend to),,
만나지만,…날이 달라서 많이 못 만나지만,,,,,,,en,meet but,,
풀려서,스트레스가 풀려서 힘들 때 자주 먹어요.,,,,,,,en,release,,
다니기,그리고 최근에 프랑스어 학원을 다니기 시작했어요.,,,,,,,en,"attend, go about",,
문화,그래서 저는 특히 문화 차이에 대해서 이야기하는 것을…,,,,,,,en,[文化] culture;,,
차이에,그래서 저는 특히 문화 차이에 대해서 이야기하는 것을 좋아하고,,,,,,,en,"difference, distinction",,
자주,요즘은 책을 자주 읽는데 영어 공부를 하고…,,,,,,,en,"adv.  often,",,
배달이,다양한 디저트가 많고 밤에도 배달이 돼서 자주 먹어요.,,,,,,,en,"make a delivery (of) [명사] delivery (신문·우유 등의) (Brit) round, [동사] deliver,",,
피곤할,많이 피곤할 때는 집에서 혼자 쉬는…,,,,,,,en,Tired,,
오랜만에,…언어 수업을 들었었 는데 오랜만에 학원에 가서,,,,,,,en,after a long time,,
맛집이,제 동네에는 디저트 맛집이 정말 많아요.,,,,,,,en,highly rated restaurant,,
예능을,집에서 드라마나 예능을 보거나 게임을 해요.,,,,,,,en,variety show,,
배웠는데,…학생 때 취미로 기타를 배웠는데 일을 시작한 후로,,,,,,,en,I learned.,,
소설책을,영어 소설책을 사서 영어로 책을 읽고…,,,,,,,en,Fiction books,,
친구들과,친구들과 쉬는 날이 달라서 많이…,,,,,,,en,With friends,,
충분하지,시간이 충분하지 않아서 기타를 치지 않았어요.,,,,,,,en,"충분하다 [充分― ] - (be) sufficient, enough",,
배달시켜서,예전에는 식당에서 음식을 포장하거나 배달시켜서 먹었는데,,,,,,,en,order delivery,,
건강하게,…돈을 아낄 수 있고 건강하게 먹을 수 있어요.,,,,,,,en,"healthy, fit, well, sound",,
떨,친구들이랑 카페에서 수다를 떨 때도 있고,동사,떨다,동사,떨다,,,en,to chat,,
학원을,그리고 최근에 프랑스어 학원을 다니기 시작했어요.,,,,,,,en,academy,,
피아노하고,나중에 시간이 있으면 피아노하고 기타를 다시 배우고 싶어요.,,,,,,,en,piano + 하고,,
내년에,내년에 여행을 하려고 해서 지금…,,,,,,,en,next year,,
영화로,그 책이 영화로 만들어졌는데,,,,,,,en,as a film,,
후로,…기타를 배웠는데 일을 시작한 후로,,,,,,,en,"since, after",,
치지,시간이 충분하지 않아서 기타를 치지 않았어요.,,,,,,,en,"hit, strike; count, include, consider; draw; raise, breed, keep, rear",,
산책도,…한국 날씨가 정말 좋아서 산책도 많이 해요.,,,,,,,en,[散策] a walk,,
사람과,…언어를 배우면 더 많은 사람과 이야기할 수 있어서 좋아요.,,,,,,,en,People and,,
습했는데,…전까지 날씨가 정말 덥고 습했는데,,,,,,,en,it was wet/humid,,
배우면,그리고 언어를 배우면 더 많은 사람과 이야기할…,동사,배우다,동사,배우다,,,en,If you learn,,
언어보다,다른 언어보다 더 쉽게 배울 수…,,,,,,,en,Than language,,
문화에,다른 나라의 문화에 대해서 듣는 것을 좋아해요.,,,,,,,en,culture,,
시원해졌어요,…되기 시작해서 날씨가 많이 시원해졌어요.,,,,,,,en,became cool,,
걸어요,…있으면 자주 음악을 들으면서 걸어요.,동사,걷다,걸다,동사,걷다,걸다,en,walk,,
있거나,"…오후, 밤에 다 수업이 있거나 다른 일을 해서",,,,,,,en,was/had  + or,,
이사,언제 그녀가 아파트에 이사 왔나요?,,,,,,,en,move (into a place),,
나지,"글쎄요, 기억이 잘 나지 않는데.",,,,,,,en,"come out, grow + negative",,
전쯤에,…그녀가 거의 2 년 전쯤에 온 것 같아요.,,,,,,,en,About + ago,,
대충,대충 언제인가요?,,,,,,,en,"approximate, rough",,
알아야겠어요,알아야겠어요.,,,,,,,en,I need to know,,
날이었지요,"11 월이었는데, 눈이 오는 날이었지요.",,,,,,,en,"day, blade, edge",,
데려와서는,그는 그의 친구들을 데려와서는 이사를 돕게 했는데 너무…,,,,,,,en,"brought, took with",,
확실해요,확실해요?,,,,,,,en,"certain, absolute, positive",,
주전까지만,"…같은데, 오빠는 나에게 몇 주전까지만 해도 꾸준히 편지를 썼어요.",,,,,,,en,Weeks until,,
돕게,…그의 친구들을 데려와서는 이사를 돕게 했는데 너무 시끄러웠지요.,,,,,,,en,"help, assist",,
기억하기로,제가 기억하기로 늦은 밤이었고 비가 왔었어요.,,,,,,,en,"remember, memory",,
밤이었고,제가 기억하기로 늦은 밤이었고 비가 왔었어요.,,,,,,,en,It was night,,
쓴,왜 메일을 그만 쓴 것 인데요?,,,,,,,en,(what I had) written,,
썼었어요,…그는 늘 자주 편지를 썼었어요.,,,,,,,en,"had written , had used",,
식사하셨어요,가끔' 밥 먹었어?'' 식사하셨어요?' 이렇게 말해요,,,,,,,en,Did you have a meal,,
식사,09. 식사- Meal,,,,,,,en,meal,,
대신에,"…잘 가',' 안녕히 가세요' 대신에",,,,,,,en,"대신에 prep. in place of, on behalf of, for",,
합시다,"…먹자',' 나중에 식사 한번 합시다' 이렇게 말할 때도 많아요.",동사,하다,하다,동사,,,en,lets do,,
유명한,가끔 한국에서 유명한 맛집을 갈 때 오래…,,,,,,,en,famous,,
친구나,여러분은 친구나 아는 사람을 만나면 어떻게…,,,,,,,en,Friend or,,
헤어질,"그리고 헤어질 때는' 잘 가',' 안녕히…",,,,,,,en,"헤어지다 v. separate, get scattered, become chapped, miss one another, say good bye",,
인사해요,…아는 사람을 만나면 어떻게 인사해요?,동사,인사하다,동사,인사하다,,,en,Greetings,,
먹거나,보통 만나서 점심을 같이 먹거나 저녁을 같이 먹어요,,,,,,,en,먹다 + 거나 ( or),,
문화에서,이렇게 한국 문화에서 식사가 중요해요,,,,,,,en,culture,,
이나,오랜만에 친구를 만나면 점심 이나 저녁을 먹을 때가 많아요,,,,,,,en,as many as; no less than; about,,
맛집을,같이 밥을 먹을 때도 맛집을 찾아서 가요,,,,,,,en,gourmet restaurant,,
예약하고,요즘 카카오톡으로 예약하고 다른 곳을 구경할 수…,,,,,,,en,To reserve,,
기다릴,…맛집을 갈 때 오래 기다릴 때도 있어요,동사,기다리다,동사,기다리다,,,en,Wait,,
곳을,요즘 카카오톡으로 예약하고 다른 곳을 구경할 수 있어요,,,,,,,en,"n.  place, location",,
맛집이면,여러분은 맛있고 유명한 맛집이면 얼마나 기다릴 수 있어요?,,,,,,,en,If it's a restaurant,,
시간보다,1 시간보다 더 오래 기다리는 건…,,,,,,,en,time + than,,
구경할,…카카오톡으로 예약하고 다른 곳을 구경할 수 있어요,동사,구경하다,동사,구경하다,,,en,"sightseeing, [동사] see, watch (관광하다) see the sights (of) (돌아다니며) look around",,
순서가,순서가 되면 카카오톡 메시지가 와서,,,,,,,en,The order,,
들어가면,그때 식당에 들어가면 돼요,동사,들어가다,동사,들어가다,,,en,"enter , walk in ,  if",,
예약을,그래서 유명한 식당에 가서 예약을 하고 쇼핑을 해요,,,,,,,en,Reservations,,
지루하지,쇼핑을 하면서 기다리면 지루하지 않아서 좋아요,,,,,,,en,adj.  boring,,
마다,제 생각에는 시간 마다 먹는 음식이 조금 다른…,,,,,,,en,"each, every, all, at an interval of, whenever",,
남녀친구,분명히 남녀친구 일 거에요,,,,,,,en,Male and female friends,,
그만,언제 오빠가 메일을 그만 썼나요?,,,,,,,en,so little,,
썼나요,언제 오빠가 메일을 그만 썼나요?,,,,,,,en,"wrote, used",,
대로,난 될 수 있는 대로 빨리 답장 해요.,,,,,,,en,"according,",,
답장,…수 있는 대로 빨리 답장 해요.,,,,,,,en,"reply, answer",,
찾아가보지,그 전에 찾아가보지 그랬어요?,,,,,,,en,go see,,
매달,매달 오빠에게서 얼마나 많은 편지를…,,,,,,,en,Monthly,,
되는지에,…해야 되는 일이 얼마나 되는지에 따라 달렸어요.,,,,,,,en,Whether,,
달렸어요,…일이 얼마나 되는지에 따라 달렸어요.,동사,달리다,동사,달리다,,,en,Depends,,
오빠에게서,매달 오빠에게서 얼마나 많은 편지를 받았어요?,,,,,,,en,From brother,,
사는지는,난 오빠가 어디서 사는지는 알 필요가 없었어요.,,,,,,,en,Which live,,
흥미로웠지요,오빠의 메일이 매우 흥미로웠지요.,,,,,,,en,"interested, entertained",,
필수,김치는 필수 반찬이에요,,,,,,,en,"(必須) necessary, compulsory",,
어린이에게,떡볶이는 어린이에게 최고의 간식이에요,,,,,,,en,To children,,
최고의,떡볶이는 어린이에게 최고의 간식이에요,,,,,,,en,"Top, number 1 , best",,
간식이에요,떡볶이는 어린이에게 최고의 간식이에요,,,,,,,en,It's a snack.,,
보내요,…끝난 후에 문법하고 단어를 보내요.,동사,보내다,보내다,동사,,,en,"보내다 – send, mail; transfer",,
매운맛은,그래서 매운맛은 한국인에게 익숙한 맛이에요,,,,,,,en,Spicy,,
생각엔,"음, 내 생각엔 당신과는 상관 없는 질문을…",,,,,,,en,"guess, think",,
익숙한,그래서 매운맛은 한국인에게 익숙한 맛이에요,,,,,,,en,Familiar,,
생일에,그래서 오늘은 생일에 대해서 이야기해 볼 거예요.,,,,,,,en,Birthday,,
맛이에요,그래서 매운맛은 한국인에게 익숙한 맛이에요,,,,,,,en,It's delicious.,,
안주,술과 함께 먹는 음식을' 안주' 라고 해요,,,,,,,en,snack,,
쌀을,이제 쌀을 사서 밥솥으로 밥을 해…,,,,,,,en,(uncooked) rice,,
안주는,안주는 여러 가지가 있어요,,,,,,,en,Garnishes,,
쌀,…작은 마트보다 야채나 과일을 쌀 때가 있어요.,동사,싸다,동사,싸다,,,en,Rice/ wrap (kimbap),,
양념된,그리고 마트에 양념된 고기들이 많아서 사서 굽기만…,,,,,,,en,Seasoned,,
가게나,가게나 마트에서 재료를 사서 집에서…,,,,,,,en,Shops,,
종류,"족발이나 치킨, 전, 탕 종류 나 고기도 먹을 수…",,,,,,,en,"kind, type, category, variety",,
장을,…정도 큰 마트에 가서 장을 봐요.,,,,,,,en,Chapter,,
밥솥으로,이제 쌀을 사서 밥솥으로 밥을 해 먹어서 돈을…,,,,,,,en,With a rice cooker,,
튀김을,예전에는 냉동 피자나 냉동 튀김을 많이 샀어요.,,,,,,,en,"튀김 (deep-)fried food, fried dish, fritter",,
포장해서,식당에 가서 포장해서 먹을 때가 많았어요.,,,,,,,en,"包裝 packing, packaged",,
시켜,…년 전까지 배달을 자주 시켜 먹었고,동사,시키다,동사,시키다,,,en,"make[have, let, get force[compel] order[tell]",,
풀기에,"두 번째, 매운맛은 스트레스 풀기에 좋아요",,,,,,,en,"To solve, relieve",,
탕,"족발이나 치킨, 전, 탕 종류 나 고기도 먹을…",,,,,,,en,bang,,
가게는,…과일 가게가 있는데 그 가게는 조금 비싸요.,,,,,,,en,"A Store, A Shop",,
식품은,냉동 식품은 없으면 안 먹는데 있으면…,,,,,,,en,Food,,
주변에,제 집 주변에 과일 가게가 있는데 그…,,,,,,,en,surroundings; periphery,,
야채나,그 대신 마트에서 야채나 소스를 사서 보통 직접…,,,,,,,en,vegetables or,,
식료품을,그래서 저는 큰 마트에서 식료품을 살 때가 많아요.,,,,,,,en,"food, groceries",,
두세,한 달에 두세 번 정도 큰 마트에…,,,,,,,en,"two or three, a few",,
고기도,"…전, 탕 종류 나 고기도 먹을 수 있고",,,,,,,en,n. meat,,
포장되어,그런데 재료가 따로 포장되어 있어서 플라스틱이 너무 많았어요.,,,,,,,en,Is packed,,
소스를,그 대신 마트에서 야채나 소스를 사서 보통 직접 요리해요,,,,,,,en,sauce,,
찌개나,지금은 찌개나 국을 만들 수 있는…,,,,,,,en,"jjigae, stew, casserole",,
피자나,예전에는 냉동 피자나 냉동 튀김을 많이 샀어요.,,,,,,,en,Pizza,,
국을,지금은 찌개나 국을 만들 수 있는 소스나…,,,,,,,en,Soup,,
건강에도,그런데 냉동 식품은 건강에도 안 좋고 살도 쪄서…,,,,,,,en,For health,,
초밥,"보통 밥이나 파스타, 고기나 초밥 등을 먹어요",,,,,,,en,sushi,,
고기나,"보통 밥이나 파스타, 고기나 초밥 등을 먹어요",,,,,,,en,Meat,,
이후에,그런데 12 시 이후에 점심을 먹으려고 친구를 만나면,,,,,,,en,Since,,
것보다는,그때는 식사를 하는 것보다는 술과 함께 간단한 음식을…,,,,,,,en,Rather than,,
밀키트를,…제가 요리를 정말 못해서 밀키트를 자주 샀어요.,,,,,,,en,meal kit + 를,,
살도,…식품은 건강에도 안 좋고 살도 쪄서 이제 안 사요.,,,,,,,en,Flesh,,
밥이나,"보통 밥이나 파스타, 고기나 초밥 등을…",,,,,,,en,Rice or,,
올해에는,그래서 올해에는 재료를 사서 요리를 자주…,,,,,,,en,"This year,",,
재료가,그런데 재료가 따로 포장되어 있어서 플라스틱이…,,,,,,,en,ingredients / material,,
족발이나,"족발이나 치킨, 전, 탕 종류…",,,,,,,en,Or pork feet,,
소스나,"큰 마트에서는 여러 가지 소스나 파스타, 야채, 과일 등을…",,,,,,,en,Sauce +나 (or),,
양념,"…만들 수 있는 소스나 양념, 고기와 두부, 야채를 사고",,,,,,,en,seasoning,,
두부,"…있는 소스나 양념, 고기와 두부, 야채를 사고",,,,,,,en,tofu,,
냉동,예전에는 냉동 피자나 냉동 튀김을 많이…,,,,,,,en,frozen,,
